Student_ID,Attendance,Study_Hours,Previous_GPA,Assignment_Score,Internal_Score,Previous_Failures,Participation,Performance
ST439,67.1,6.3,7.01,58.5,87.1,1,High,High
ST440,80.1,6.0,6.69,67.4,69.2,0,Medium,High
ST441,72.7,2.4,4.79,90.4,65.3,1,Low,Average
ST442,78.9,6.6,7.75,59.9,85.5,2,Medium,Average
ST443,79.3,6.0,3.38,51.1,77.3,2,Low,Low
ST444,90.8,4.7,7.97,86.1,79.7,1,Medium,High
ST445,70.9,2.8,4.76,79.4,57.4,1,Medium,Low
ST446,57.3,2.6,7.08,62.7,51.3,1,Medium,Low
ST447,87.8,3.3,6.82,48.3,58.9,0,Low,Average
ST448,71.0,5.7,8.75,60.8,58.1,1,Medium,High
ST449,88.4,2.4,6.73,71.2,80.6,0,High,High
ST450,79.6,5.5,5.96,89.5,83.6,4,High,Average
ST451,73.4,1.8,6.24,56.5,65.5,0,Medium,Low
ST452,79.2,4.1,8.91,70.7,90.9,3,Medium,High
ST453,98.4,4.7,7.8,82.1,89.9,4,Low,Low
ST454,99.9,9.9,6.42,36.3,71.9,1,Medium,High
ST455,75.8,1.5,6.65,87.5,54.8,3,Medium,Low
ST456,76.9,7.7,4.65,54.3,93.2,1,Low,Average
ST457,87.9,4.8,7.58,77.0,67.0,0,Medium,High
ST458,64.9,5.4,4.36,75.7,70.0,0,High,Average
ST459,79.0,4.8,8.13,88.3,62.6,0,Medium,High
ST460,74.7,5.5,7.19,80.3,53.8,4,Medium,Low
ST461,,4.2,10.0,36.3,44.5,1,Medium,Average
ST462,65.0,7.7,5.35,60.2,78.1,0,Medium,Average
ST463,55.9,3.5,6.85,74.1,55.5,1,Medium,Average
ST464,50.1,7.0,9.7,69.1,100.0,0,Low,High
ST465,61.6,3.1,8.79,79.2,50.6,3,Medium,Low
ST466,69.5,4.4,5.96,83.8,47.9,4,Medium,Low
ST467,71.5,2.1,7.34,81.1,76.2,0,Low,Average
ST468,98.2,5.5,7.0,68.8,92.5,2,High,High
ST469,88.3,7.7,7.42,44.3,69.0,0,Low,Average
ST470,63.5,4.3,5.95,65.2,77.2,0,Medium,Average
ST471,79.2,4.1,6.87,78.2,38.5,4,Medium,Low
ST472,70.1,2.0,4.6,55.6,57.2,0,Medium,Low
ST473,71.6,4.0,7.2,81.5,50.8,0,Medium,Average
ST474,77.2,1.0,7.68,85.6,37.7,0,High,Average
ST475,82.4,2.5,6.66,73.9,69.9,1,Medium,Low
ST476,70.9,5.0,4.58,26.0,32.1,1,Medium,Low
ST477,87.8,7.4,8.48,52.8,46.8,0,Medium,High
ST478,61.3,10.7,7.55,100.0,59.4,0,Low,High
ST479,75.1,3.2,5.91,63.8,54.7,0,Low,Low
ST480,100.0,7.7,6.58,42.2,74.3,4,Medium,Low
ST481,77.7,5.0,4.75,90.5,72.9,3,Low,Low
ST482,92.2,4.2,5.46,72.2,82.3,4,Medium,Low
ST483,76.1,5.5,6.19,88.6,80.0,1,Medium,High
ST484,82.0,4.6,8.84,76.2,86.3,1,Medium,High
ST485,74.3,4.7,6.04,78.9,68.0,3,Low,Low
ST486,73.0,3.6,7.96,77.4,72.9,1,High,Average
ST487,65.6,1.4,6.19,82.5,76.2,1,Medium,Average
ST488,80.2,1.1,7.37,100.0,70.3,0,Medium,High
ST489,64.8,5.9,6.79,86.6,61.6,1,Low,Average
ST490,83.0,3.9,8.31,48.3,62.7,0,Medium,High
ST491,88.0,3.2,6.2,78.7,54.9,0,Low,Average
ST492,79.4,4.5,4.64,89.1,74.7,2,Medium,Low
ST493,71.6,6.2,4.93,90.0,66.5,3,Medium,Low
ST494,80.4,4.9,6.2,65.6,57.4,0,High,Average
ST495,71.3,3.1,5.13,89.5,57.4,0,Medium,Average
ST496,86.2,7.2,7.62,85.9,48.6,0,Medium,High
ST497,53.0,8.0,6.3,100.0,83.7,3,Low,Low
ST498,71.0,5.6,10.0,60.7,69.3,0,Medium,High
ST499,51.1,6.6,4.39,64.4,54.2,0,Medium,Low
ST500,57.1,7.2,7.31,67.4,80.9,0,Medium,High
ST501,91.4,7.0,5.31,64.6,59.0,4,Low,Low
ST502,85.7,5.9,6.26,58.6,45.5,1,Low,Average
ST503,66.4,5.8,7.21,30.6,84.3,3,Low,Low
ST504,57.0,5.6,3.51,65.5,59.4,2,High,Low
ST505,39.4,2.1,7.36,77.5,61.5,0,Medium,Low
ST506,68.5,6.0,9.85,64.6,68.7,3,Low,Average
ST507,100.0,1.5,6.32,100.0,86.3,1,High,High
ST508,80.2,2.8,7.39,72.2,68.3,1,Low,Average
ST509,68.3,7.4,8.54,91.4,48.8,0,Medium,High
ST510,80.6,6.3,6.75,75.9,76.7,3,Medium,Low
ST511,56.3,,6.13,84.4,60.2,4,High,Average
ST512,71.4,3.9,3.59,76.2,98.2,1,Medium,Low
ST513,76.2,2.0,7.96,92.5,68.0,0,Medium,High
ST514,74.0,4.0,6.83,72.8,32.2,3,High,Low
ST515,84.5,4.7,5.48,79.4,73.7,4,Low,Low
ST516,79.1,4.7,7.19,77.5,99.1,1,High,High
ST517,83.0,7.0,6.12,67.7,93.2,1,High,High
ST518,66.7,3.7,6.21,78.1,97.3,0,High,High
ST519,85.8,5.3,7.91,100.0,51.7,0,Low,High
ST520,94.5,2.3,4.99,67.9,82.6,4,Low,Low
ST521,63.4,5.5,8.57,78.3,56.4,1,Medium,Average
ST522,64.3,4.5,4.9,90.9,71.6,0,Medium,Average
ST523,91.0,2.9,6.01,89.1,47.6,2,Medium,Low
ST524,72.7,4.0,9.88,72.2,57.7,0,High,High
ST525,91.8,4.1,8.69,36.2,57.2,0,Medium,High
ST526,69.7,3.9,7.15,79.8,82.4,0,Medium,High
ST527,92.5,8.4,5.59,38.7,80.8,1,Medium,High
ST528,76.6,4.3,6.21,94.0,72.4,0,Low,Average
ST529,78.1,,7.11,74.5,46.4,0,Low,Average
ST530,93.8,0.0,7.06,87.0,63.0,0,Low,Average
ST531,70.7,2.5,6.86,58.5,56.1,0,High,Low
ST532,63.7,3.9,6.95,48.7,81.9,1,Medium,Average
ST533,69.6,3.0,6.68,75.9,86.9,1,Medium,Average
ST534,80.4,7.5,4.84,71.5,84.9,4,Medium,Low
ST535,56.2,4.1,6.23,64.6,55.9,3,Medium,Low
ST536,82.6,7.3,8.37,73.3,24.2,0,High,High
ST537,68.5,4.6,4.95,100.0,39.7,4,High,Low
ST538,88.8,4.6,6.72,84.5,90.7,1,Medium,High
ST539,46.3,4.3,5.77,87.7,61.6,0,High,Average
ST540,65.6,4.5,7.17,84.7,56.0,0,Medium,High
ST541,54.8,8.3,6.42,94.2,94.3,2,Medium,High
ST542,65.1,0.0,9.22,69.1,88.2,3,High,Average
ST543,78.0,0.1,7.76,41.2,68.4,0,Medium,Average
ST544,72.8,3.3,5.03,69.2,63.3,0,Medium,Low
ST545,72.0,4.5,8.01,84.2,65.9,0,Medium,High
ST546,73.1,6.0,5.84,57.5,71.6,0,Medium,Average
ST547,77.4,5.5,6.13,69.4,93.6,2,Medium,Average
ST548,62.9,3.7,7.47,61.6,74.8,1,Medium,Average
ST549,83.5,6.7,6.26,94.5,79.6,1,Medium,Average
ST550,83.0,6.8,8.34,83.2,86.7,2,Low,High
ST551,79.6,4.9,5.84,81.8,49.3,3,High,Low
ST552,81.7,6.6,6.07,81.3,80.1,3,Medium,Average
ST553,78.6,5.1,6.02,71.4,63.3,0,High,Average
ST554,99.4,3.3,6.15,75.0,27.7,1,Low,Low
ST555,74.0,6.0,8.65,54.2,33.9,4,Medium,Low
ST556,71.3,4.7,7.94,39.2,51.7,3,Medium,Average
ST557,66.0,4.5,9.56,74.3,76.5,0,High,High
ST558,62.6,7.7,10.0,76.9,69.8,1,Low,High
ST559,60.1,0.0,5.45,90.1,70.9,4,High,Low
ST560,64.3,1.4,7.11,95.6,99.2,0,Medium,Average
ST561,74.2,1.9,5.24,95.5,47.7,1,Medium,Low
ST562,79.0,3.7,5.83,57.0,67.6,0,Medium,Average
ST563,75.6,3.9,6.05,66.7,72.9,4,Low,Low
ST564,65.8,1.2,5.41,79.2,56.2,0,Medium,Low
ST565,85.8,2.3,5.42,100.0,68.5,0,Low,Low
ST566,83.9,2.6,6.78,94.2,42.4,0,Medium,Average
ST567,73.1,9.9,5.17,88.8,90.6,0,Medium,High
ST568,67.2,8.5,8.26,66.2,57.1,1,Medium,High
ST569,81.6,3.6,5.62,58.8,100.0,0,Low,Average
ST570,77.3,3.7,10.0,83.8,67.5,0,Low,High
ST571,57.6,2.0,6.32,55.5,84.4,1,Low,Low
ST572,74.2,0.3,7.11,68.4,67.1,1,Low,Low
ST573,78.1,4.2,5.06,70.3,67.5,4,Medium,Low
ST574,64.2,2.3,9.56,95.9,58.7,1,Low,Average
ST575,77.3,4.3,8.68,66.7,69.9,1,High,High
ST576,57.5,1.0,7.45,35.4,73.1,2,Low,Low
ST577,91.0,2.8,4.98,79.6,55.5,0,Low,Average
ST578,90.0,4.8,7.32,61.5,66.0,2,High,Average
ST579,72.0,5.3,5.32,72.6,58.2,3,Low,Low
ST580,79.4,5.4,9.19,70.7,100.0,0,Medium,High
ST581,46.1,1.6,8.21,67.9,66.6,0,High,Average
ST582,61.1,6.4,7.14,83.9,92.7,0,High,High
ST583,71.5,2.7,3.35,49.0,64.9,0,Medium,Low
ST584,62.1,5.9,5.52,64.2,72.1,1,Low,Average
ST585,83.6,4.5,8.03,82.3,46.9,3,Medium,Low
ST586,99.0,1.5,8.82,62.8,60.8,1,High,High
ST587,60.9,3.8,8.66,47.9,71.4,0,High,High
ST588,65.0,5.3,4.61,82.0,93.4,0,Low,Average
ST589,77.8,5.8,7.45,88.8,71.6,2,Medium,Average
ST590,94.3,4.2,8.52,71.3,90.1,0,Medium,High
ST591,60.3,7.9,4.51,42.6,78.3,1,Low,Low
ST592,78.0,6.7,6.99,82.6,94.0,2,Medium,High
ST593,96.9,3.9,7.41,47.1,67.1,0,Low,Average
ST594,55.2,6.2,6.55,76.6,100.0,2,Medium,High
ST595,59.6,8.8,4.22,58.7,60.2,1,Low,Low
ST596,69.9,8.8,6.51,54.6,55.7,0,Medium,High
ST597,68.8,1.8,6.51,65.4,48.6,0,Low,Low
ST598,84.8,2.5,6.78,69.3,100.0,1,Medium,Average
ST599,77.9,7.8,6.15,62.3,81.1,0,Low,High
ST600,53.7,2.2,6.34,80.8,62.7,4,High,Low
ST001,78.7,5.6,5.02,71.4,60.9,1,Low,Low
ST002,62.5,3.2,6.27,78.6,83.7,4,High,Low
ST003,84.0,7.3,7.63,67.4,72.5,0,Low,High
